station_id,station_en,station_zh,subbasin,landscape,year,orbit_period,valid_days_consensus,valid_days_any,valid_eight_day_bins_consensus,paired_sensor_days,median_sensor_difference_c,p95_sensor_difference_c,paired_sensor_diagnostic_available,station_year_sensor_consistent,strict_qc_status,qc_rule,ground_annual_consensus_c,chinatherm30_median_3x3_c,chinatherm30_minus_ground_3x3_c
huangcaogou,Huangcaogou,黄草沟,upstream,alpine meadow,2013,through_2020,116,116,19,116,0.7472125000000007,1.08548125,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,30.408471666666667,24.96,-5.448471666666666
huangcaogou,Huangcaogou,黄草沟,upstream,alpine meadow,2014,through_2020,120,120,19,120,0.5161324999999986,1.029747749999999,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,27.881719375,22.59,-5.291719375
huangzangsi,Huangzangsi,黄藏寺,upstream,wheat,2013,through_2020,109,109,18,109,0.7050000000000001,2.142999999999998,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.685052083333332,22.22,-3.465052083333333
huangzangsi,Huangzangsi,黄藏寺,upstream,wheat,2014,through_2020,118,118,19,118,0.3774999999999986,0.985750000000001,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,25.34625,19.76,-5.58625
huazhaizi_desert_steppe,Huazhaizi Desert Steppe,花寨子荒漠,midstream,Kalidium foliatum desert,2015,through_2020,111,111,18,111,0.5650000000000013,0.6649999999999991,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,38.31435714285714,36.47,-1.8443571428571417
huazhaizi_desert_steppe,Huazhaizi Desert Steppe,花寨子荒漠,midstream,Kalidium foliatum desert,2016,through_2020,115,115,19,115,0.8300000000000018,1.061500000000002,True,True,included,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,37.723333333333336,38.28,0.5566666666666649
huazhaizi_desert_steppe,Huazhaizi Desert Steppe,花寨子荒漠,midstream,Kalidium foliatum desert,2017,through_2020,70,112,18,112,5.225000000000001,7.202250000000002,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,30.48614583333333,35.68,5.193854166666668
huazhaizi_desert_steppe,Huazhaizi Desert Steppe,花寨子荒漠,midstream,Kalidium foliatum desert,2018,through_2020,24,108,9,108,8.757499999999999,11.328999999999995,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,29.565,39.11,9.544999999999998
huazhaizi_desert_steppe,Huazhaizi Desert Steppe,花寨子荒漠,midstream,Kalidium foliatum desert,2019,through_2020,49,117,16,117,8.005,13.871,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,28.35375,37.78,9.42625
huazhaizi_desert_steppe,Huazhaizi Desert Steppe,花寨子荒漠,midstream,Kalidium foliatum desert,2020,through_2020,34,122,13,122,8.830000000000002,14.162,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,23.820000000000004,38.13,14.31
huazhaizi_desert_steppe,Huazhaizi Desert Steppe,花寨子荒漠,midstream,Kalidium foliatum desert,2021,2021_2024,22,109,8,109,10.62,15.492,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,27.564375,40.38,12.815625000000004
huazhaizi_desert_steppe,Huazhaizi Desert Steppe,花寨子荒漠,midstream,Kalidium foliatum desert,2022,2021_2024,17,89,11,89,10.52,13.713000000000005,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,29.305,40.67,11.365000000000002
huazhaizi_desert_steppe,Huazhaizi Desert Steppe,花寨子荒漠,midstream,Kalidium foliatum desert,2023,2021_2024,24,120,11,120,9.425,13.8915,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,27.03,41.69,14.659999999999997
huazhaizi_desert_steppe,Huazhaizi Desert Steppe,花寨子荒漠,midstream,Kalidium foliatum desert,2024,2021_2024,46,115,13,115,8.15,12.8765,True,False,excluded_sensor_disagreement,exclude only when station-year median daily paired IRT absolute difference exceeds 5 C,27.432499999999997,40.21,12.777500000000003
